indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;1/10/2022;0:00:00;4171,39;14,8;2568,86;0;11,5;45,89;1545,14
2;1/10/2022;0:01:29;4466,73;14,63;2545,33;0;134,88;62,25;1724,27
3;1/10/2022;0:02:59;4741,19;14,57;2546,29;0;173,25;164,33;1857,32
4;1/10/2022;0:04:29;4391,12;14,34;2672,94;0;80,14;106,11;1531,93
5;1/10/2022;0:05:59;6781,94;14,12;5317,06;0;152,17;68;1244,72
6;1/10/2022;0:07:29;3623,18;14,44;1044,45;0;278,24;151,67;2148,82
7;1/10/2022;0:08:59;3386,29;14,6;1023;0;161,78;118;2083,51
8;1/10/2022;0:10:29;4409,93;14,77;1740,2;0;277,25;158,57;2233,91
9;1/10/2022;0:11:59;4427,82;14,51;2516,23;0;177;126,8;1607,79
10;1/10/2022;0:13:29;5703,94;14,41;3385,88;0;146,93;97,44;2073,69
11;1/10/2022;0:14:59;7365,47;14;5797,94;0;82;29,25;1456,28
12;1/10/2022;0:16:29;5745;14,06;2888,57;0;264,85;124,29;2467,3
13;1/10/2022;0:17:59;7589,33;13,68;6330,93;0;44,14;76,67;1137,59
14;1/10/2022;0:19:29;7526,24;13,28;6349,19;0;124,8;127,75;924,5
15;1/10/2022;0:20:59;7616,36;13;6358,8;0;40,6;13,25;1203,71
16;1/10/2022;0:22:29;7643;12,77;6362,79;0;44;41,33;1194,88
17;1/10/2022;0:23:59;7553,73;12,75;5622,23;0;195,44;114,44;1621,61
18;1/10/2022;0:25:29;5811;13,06;3542,28;0;192,67;153,44;1922,61
19;1/10/2022;0:26:59;6492,77;13,15;4573,31;0;135,44;223,44;1560,57
20;1/10/2022;0:28:29;6461,63;13,24;4425,53;0;209,83;115,22;1711,04
21;1/10/2022;0:29:59;6632,22;13,31;4611,93;0;140,61;110;1769,68
22;1/10/2022;0:31:29;6870,13;13,45;4699,5;0;150,19;116,11;1904,33
23;1/10/2022;0:32:59;6500,82;13,52;4427,31;0;191,88;123,43;1758,21
24;1/10/2022;0:34:29;6127,31;13,63;4233,69;0;259,55;203;1431,08
25;1/10/2022;0:35:59;4890;14,08;2153,59;0;258,73;154,5;2323,18
26;1/10/2022;0:37:29;4882,69;14,56;1957,59;0;286,11;159,22;2479,77
27;1/10/2022;0:38:59;3489,47;14,99;1019,85;0;194,93;133,44;2141,25
28;1/10/2022;0:40:29;2515,53;15,06;472;0;252,13;130,71;1660,69
